HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
3.3941575052598183,18.5,11.0,-3387.7180941143506,2.2562922349702734e-07
3.3613217843709435,18.5,12.0,-3286.783170096173,2.2562922349702734e-07
3.318679839223387,18.5,12.0,-3287.965989436082,2.2562922349702734e-07
3.3005918313209124,18.5,12.0,-3286.9034249217725,2.2562922349702734e-07
3.292043749627874,18.5,12.0,-3284.9714115316747,2.2562922349702734e-07
3.28720383801724,18.5,12.0,-3282.704385927139,2.2562922349702734e-07
3.2838069315679377,18.5,12.0,-3280.3099281923605,2.2562922349702734e-07
3.322556834448074,18.5,12.0,-3422.503864364283,2.2562922349702734e-07
3.3776817500888683,18.5,12.0,-3414.7635176832705,2.2562922349702734e-07
3.3975879940030382,18.5,12.0,-3410.2555211674353,2.2562922349702734e-07
3.4038176469231987,18.5,12.0,-3407.0056643792063,2.2562922349702734e-07
3.4047379046342487,18.5,12.0,-3404.2471357137733,2.2562922349702734e-07
3.403598637762366,18.5,12.0,-3401.682095596967,2.2562922349702734e-07
3.3212210444394032,18.5,12.0,-3119.40794599293,2.2562922349702734e-07
3.6660298760559726,18.5,12.0,-3085.164836779643,2.2562922349702734e-07
3.798486046290668,18.5,12.0,-3070.387260088646,2.2562922349702734e-07
3.3897151270449744,18.5,12.0,-3105.183171178941,2.2562922349702734e-07
3.688592454597483,18.5,12.0,-3075.1635273787747,2.2562922349702734e-07
3.8032162291651503,18.5,12.0,-3062.0342768482365,2.2562922349702734e-07
